"Chave","Tipo de item","Pai","Resumo","Status","Responsável","Sprint","Start date","Data de início inferida","Data limite","Data de entrega inferida","Issue color"
"SCRUM-16","Epic","","EPIC: Fundação Técnica","A fazer","Jeferson Ferreira","","2025/10/27","2025/10/27","2025/10/31","2025/10/31","grey"
"SCRUM-1","História","SCRUM-16","SCRUM-1: Integracao SSO Keycloak","A fazer","Jeferson Ferreira","","","","","","purple"
"SCRUM-2","História","SCRUM-16","SCRUM-2: Publicar Cardapio","A fazer","Jeferson Ferreira","","","","","","purple"
"SCRUM-3","História","SCRUM-16","SCRUM-3: Consultar Cardapio","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","2025/10/27","2025/10/27","2025/10/31","2025/10/31","purple"
"SCRUM-4","História","SCRUM-16","SCRUM-10: Consultar Avaliações","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","2025/10/27","2025/10/27","2025/10/31","2025/10/31","purple"
"SCRUM-5","História","SCRUM-16","SCRUM-9: Reserva de Refeição","A fazer","Jeferson Ferreira","Sprint 1: Setup inicial","2025/10/27","2025/10/27","2025/10/31","2025/10/31","purple"
"SCRUM-17","Epic","","EPIC: Autenticação","A fazer","Jeferson Ferreira","","2025/11/03","2025/11/03","2025/11/14","2025/11/14","blue"
"SCRUM-8","História","SCRUM-17","SCRUM-8: Alerta de Pratos Favoritos","A fazer","Jeferson Ferreira","Sprint 2: Core SSO","2025/11/03","2025/11/03","2025/11/14","2025/11/14","purple"
"SCRUM-18","Epic","","EPIC: Gestão de Cardápio","A fazer","Jeferson Ferreira","","2025/11/17","2025/11/17","2025/11/28","2025/11/28","blue"
"SCRUM-9","História","SCRUM-18","SCRUM-9: Reserva de Refeicao","A fazer","Jeferson Ferreira","Sprint 3: Features MVP","2025/11/17","2025/11/17","2025/11/28","2025/11/28","purple"
"SCRUM-10","História","SCRUM-18","SCRUM-10: Consultar Avaliacoes","A fazer","Jeferson Ferreira","Sprint 3: Features MVP","2025/10/27","2025/11/17","2025/10/31","2025/11/28","purple"
"SCRUM-11","História","SCRUM-18","SCRUM-11: Historico de Avaliacoes","A fazer","Jeferson Ferreira","Sprint 3: Features MVP","2025/11/17","2025/11/17","2025/11/28","2025/11/28","purple"
"SCRUM-19","Epic","","EPIC: Comunicação","A fazer","Jeferson Ferreira","","2025/12/01","2025/12/01","2025/12/12","2025/12/12","blue"
"SCRUM-12","História","SCRUM-19","SCRUM-5: Publicação de Avisos","A fazer","Jeferson Ferreira","Sprint 4: Avaliações MVP","2025/12/01","2025/12/01","2025/12/12","2025/12/12","purple"
"SCRUM-20","Epic","","EPIC: Avaliações","A fazer","Jeferson Ferreira","","2025/12/15","2025/12/15","2025/12/26","2025/12/26","teal"
"SCRUM-14","História","SCRUM-20","SCRUM-10: Consultar Avaliacoes","A fazer","Jeferson Ferreira","Sprint 5: Incrementos","","2025/12/15","2025/12/12","2025/12/26","purple"
"SCRUM-15","História","SCRUM-20","SCRUM-11: Historico de Avaliacoes","A fazer","Jeferson Ferreira","Sprint 5: Incrementos","","2025/12/15","2025/12/30","2025/12/26","purple"
"SCRUM-13","História","SCRUM-20","SCRUM-6: Registrar Avaliação","A fazer","Jeferson Ferreira","Sprint 5: Incrementos","2025/12/01","2025/12/15","2025/12/12","2025/12/26","purple"
"SCRUM-21","Epic","","EPIC: Reservas","A fazer","Jeferson Ferreira","","2026/01/05","2026/01/05","2026/01/16","2026/01/16","yellow"
"SCRUM-6","História","SCRUM-21","SCRUM-8: Alerta de Pratos Favoritos","A fazer","Jeferson Ferreira","Sprint 6: Reservas Finais","","2026/01/05","","2026/01/16","purple"
"SCRUM-7","História","SCRUM-21","SCRUM-7: Cancelamento de Reservas","A fazer","Jeferson Ferreira","Sprint 6: Reservas Finais","","2026/01/05","","2026/01/16","purple"
"SCRUM-22","História","SCRUM-21","SCRUM-9: Reserva de Refeição","A fazer","Jeferson Ferreira","Sprint 6: Reservas Finais","","2026/01/05","","2026/01/16","purple"
